,time,UID,PID,Command,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,StkSize,StkRef,kB_rd/s,kB_wr/s,kB_ccwr/s,iodelay,cswch/s,nvcswch/s,threads,fd-nr
0,10:56:52 PM,0,394057,python3,43.00,3.00,0.00,0.00,46.00,5,12551.00,0.00,217644,54000,0.08,132,100,0.00,8.00,0.00,0,34.00,11.00,3,10
1,10:56:53 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
2,10:56:54 PM,0,394057,python3,0.00,2.00,0.00,0.00,2.00,5,1.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
3,10:56:55 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
4,10:56:56 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
5,10:56:57 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
6,10:56:58 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
7,10:56:59 PM,0,394057,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
8,10:57:00 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
9,10:57:01 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
10,10:57:02 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
11,10:57:03 PM,0,394057,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
12,10:57:04 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
13,10:57:05 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
14,10:57:06 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
15,10:57:07 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,1.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
16,10:57:08 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
17,10:57:09 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
18,10:57:10 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
19,10:57:11 PM,0,394057,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
20,10:57:12 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
21,10:57:13 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
22,10:57:14 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
23,10:57:15 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
24,10:57:16 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
25,10:57:17 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
26,10:57:18 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
27,10:57:19 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
28,10:57:20 PM,0,394057,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
29,10:57:21 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
30,10:57:22 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
31,10:57:23 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
32,10:57:24 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
33,10:57:25 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
34,10:57:26 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
35,10:57:27 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
36,10:57:28 PM,0,394057,python3,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,0.00,0.00,3,11
37,10:57:29 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
38,10:57:30 PM,0,394057,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
39,10:57:31 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,1.00,3,10
40,10:57:32 PM,0,394057,python3,0.00,1.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
41,10:57:33 PM,0,394057,python3,2.00,0.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
42,10:57:34 PM,0,394057,python3,1.00,1.00,0.00,0.00,2.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
43,10:57:35 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
44,10:57:36 PM,0,394057,python3,1.00,0.00,0.00,0.00,1.00,5,0.00,0.00,217644,54000,0.08,132,100,0.00,0.00,0.00,0,1.00,0.00,3,10
